query_id,query,before_retrieved_sources,after_retrieved_sources,changed
q01,Какая планета самая большая в Солнечной системе?,"doc_05, doc_05, doc_08","doc_05, doc_05, doc_14",True
q02,Самая горячая планета Солнечной системы?,"doc_02, doc_02, doc_10","doc_02, doc_02, doc_10",False
q03,Какой спутник является единственным у Земли?,"doc_09, doc_03, doc_07","doc_09, doc_03, doc_07",False
q04,На какой планете находится гора Олимп?,"doc_04, doc_04, doc_07","doc_04, doc_04, doc_07",False
q05,Какая планета вращается на боку под большим наклоном оси?,"doc_07, doc_07, doc_08","doc_07, doc_07, doc_08",False
q06,У какой планеты самые сильные ветры?,"doc_08, doc_05, doc_03","doc_08, doc_05, doc_03",False
q07,Из чего состоит Солнце?,"doc_10, doc_10, doc_10","doc_10, doc_10, doc_10",False
q08,Что такое Большое Красное Пятно?,"doc_05, doc_04, doc_05","doc_05, doc_04, doc_05",False
q09,Когда Плутон перестал считаться планетой?,"doc_12, doc_12, doc_08","doc_12, doc_12, doc_08",False
q10,Планета с самым длинным орбитальным периодом?,"doc_07, doc_08, doc_08","doc_07, doc_08, doc_08",False
q11,На каком спутнике под льдом предполагается жидкий океан?,"doc_06, doc_09, doc_09","doc_13, doc_06, doc_09",True
q12,Где есть метановые реки и озёра на поверхности?,"doc_09, doc_02, doc_01","doc_14, doc_14, doc_13",True
q13,Когда ожидается следующее появление кометы Галлея?,"doc_12, doc_08, doc_01","doc_15, doc_15, doc_15",True
